thermax,थरमैक्स,थर्मैक्स
sikhaaega,सिखाएगा,सिखाएगा
learn,लर्न,लीयर
twitters,ट्विटर्स,ट्वाटर्स
tirunelveli,तिरुनेलवेली,तिरुनेवली
independence,इंडिपेंडेंस,इंडेपेंड
speshiyon,स्पेशियों,स्पेशियों
shurooh,शुरूः,शुरूह
kolhapur,कोल्हापुर,कोलहापुर
ajhar,अजहर,अझर
karaar,क़रार,करार
anka,अंक,अंका
wpd,डब्ल्यूपीडी,वीएफ
haashie,हाशिए,हाशिए
glendale,ग्लेंडल,ग्लेंडल
udhed,उधेड़,उधेद
ekthi,इकठ्ठी,एकथी
idea,आईडिया,आईडीए
ambikapur,अम्बिकापुर,अंबिकापुर
makerere,माकेरेरे,मकेरे
saboodaane,साबूदाने,सबूदाने
foohadta,फूहड़ता,फूहदता
sequent,सेक्वेंट,सिक्वेंट
shueb,शुऐब,शुएब
panihati,पानीहाटी,पनिहाती
sametati,समेटती,समेति
ukhrul,उखरुल,उखरूल
brahmlin,ब्रह्मलीन,ब्रह्मीन
utaraadhikaaree,उतराधिकारी,उतराधिकार्याके
iqbal,इक़बाल,इकबल
dayaalapuraa,दयालपुरा,दयालपुरा
sohrai,सोहराई,सोहराई
takreeban,तक़रीबन,तकरीबान
farrukhnagar,फर्रूखनगर,फर्रूखरणगर
theinga,ठेंगा,थेंगा
tyoiharon,त्यौहारों,त्योहिरों
karneshvardhaam,कर्णेश्वरधाम,कर्णेश्वरमध्रे
umanath,उमानाथ,उमनाथ
daanshil,दानशील,दाँशिल
saahityotsav,साहित्योत्सव,साहित्योत्सव
shantiniketan,शांतिनिकेतन,शान्तिनेकन
shikayatkarta,शिकायतकर्ता,शिकायतकर्ता
andarkhane,अंदरखाने,अंदरखाने
panter,पंटर,पैनर
leedaron,लीडरों,लीदारों
galgand,गलगंड,गलगंड
kaarniyaan,कार्नियां,कार्णियाँ
murgipaalan,मुर्गीपालन,मुर्गीपालन
mushahid,मुशाहिद,मुशहिद
modules,मॉड्यूल्स,मोडुल
rajouri,रजौरी,राजौरी
sushrushaa,सुश्रुषा,सुश्रुशा
shringaar,शृंगार,शृंगार
holt,होल्ट,होल्ट
laigikata,लैंगिकता,लैगिकता
ijaajat,इजाजत,इजाजात
vankshetra,वनक्षेत्र,वनक्षेत्रा
bhutal,भूतल,भुटल
swaadpremiyon,स्वादप्रेमियों,स्वादप्रमियों
nineteez,नाइनटीज,निनेटिज
frektar,फ्रेक्टर,फ्रेकटर
likhkar,लिखकर,लिखकर
eyarkandeeshnar,एयरकंडीशनर,ययरकांसधन
nabz,नब्ज़,नब
quess,कुएस,क्यूस
bouni,बौनी,बौनी
kaaragujaariyaan,कारगुजारियां,कारागुजारियां
gaangnam,गांगनाम,गाँगमान
tapia,तापीया,तापिया
tezpur,तेज़पुर,तेजपुर
talve,तलवे,तलवे
seemaai,सीमाई,सीमाई
